minute,bid,bidSh,ask,askSh
49140000000000,3201300,100,3201700,4
49200000000000,3200300,210,3200700,311
49260000000000,3201900,77,3202300,100
49320000000000,3203400,367,3203700,11
49380000000000,3201700,215,3202300,100
49440000000000,3200300,105,3200600,20
49500000000000,3201300,5,3201500,300
49560000000000,3200600,250,3200800,215
49620000000000,3201600,100,3201900,100
49680000000000,3202100,50,3202300,84
49740000000000,3200300,16,3200600,100
49800000000000,3198000,100,3198500,209
49860000000000,3196600,100,3197300,100
49920000000000,3198000,206,3198400,200
49980000000000,3198400,300,3198700,4
50040000000000,3199000,188,3199300,100
50100000000000,3200800,110,3201200,210
50160000000000,3201000,15,3201300,100
50220000000000,3200700,15,3201100,100
50280000000000,3197800,245,3198200,206
50340000000000,3197900,100,3198400,200
50400000000000,3199700,200,3200000,443
50460000000000,3201600,200,3202200,306
50520000000000,3200600,2,3200900,200
50580000000000,3200000,15,3200400,211
50640000000000,3199000,203,3199500,100
50700000000000,3199500,260,3199600,6
50760000000000,3198400,101,3198800,167
50820000000000,3199300,100,3199400,3
50880000000000,3198400,120,3198900,227
50940000000000,3200800,119,3201400,200
51000000000000,3203000,100,3203500,220
51060000000000,3204300,7,3204700,205
51120000000000,3204300,500,3204500,300
51180000000000,3204900,1,3205300,200
51240000000000,3206800,101,3207000,108
51300000000000,3207700,100,3207800,477
51360000000000,3208000,100,3208200,200
51420000000000,3208000,300,3208200,50
51480000000000,3208200,15,3208400,100
51540000000000,3208300,15,3208600,302
51600000000000,3210000,400,3210400,100
51660000000000,3209500,213,3209800,48
51720000000000,3209300,15,3209700,103
51780000000000,3211900,200,3212100,79
51840000000000,3209500,200,3209900,100
51900000000000,3208800,100,3209000,203
51960000000000,3210900,100,3211300,100
52020000000000,3210400,100,3210900,100
52080000000000,3208600,7,3209200,100
52140000000000,3207800,50,3208000,371
52200000000000,3205700,200,3206200,27
52260000000000,3205900,260,3206400,100
52320000000000,3205600,200,3206400,200
52380000000000,3203600,100,3203900,106
52440000000000,3203200,200,3203400,398
52500000000000,3203100,44,3203700,252
52560000000000,3203100,5,3203400,100
52620000000000,3202500,80,3202900,201
52680000000000,3201600,21,3202000,405
52740000000000,3201400,100,3201700,100
52800000000000,3203100,200,3203400,18
52860000000000,3205300,100,3205700,300
52920000000000,3206000,200,3206400,20
52980000000000,3214000,94,3214600,85
53040000000000,3199100,15,3200300,400
53100000000000,3201500,100,3202400,100
53160000000000,3197400,214,3198000,200
53220000000000,3197200,144,3198000,100
53280000000000,3201500,19,3202100,100
53340000000000,3204700,100,3205600,100
53400000000000,3206000,100,3206900,100
53460000000000,3205700,100,3206400,100
53520000000000,3204900,100,3205700,120
53580000000000,3202500,100,3203100,100
53640000000000,3201000,1644,3201600,100
53700000000000,3201800,100,3202500,300
53760000000000,3204000,15,3204600,200
53820000000000,3209100,206,3209800,200
53880000000000,3208200,200,3208900,104
53940000000000,3206900,100,3207200,154
54000000000000,3209400,200,3210000,100
54060000000000,3210500,700,3211000,141
54120000000000,3209300,1,3209700,300
54180000000000,3209800,200,3210300,100
54240000000000,3211900,12,3212400,100
54300000000000,3214900,15,3215500,10
54360000000000,3214800,100,3215000,100
54420000000000,3212900,265,3213400,100
54480000000000,3211800,202,3212200,100
54540000000000,3212100,134,3212500,100
