tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,5s,142,59341,4852134.0,47376206.45648073,-24947291.523464315,72323497.97994505
101-1000,midday,5s,143,53492,4593332.0,67329624.35025957,-28644437.612556975,95974061.96281654
101-1000,midday,5s,144,73128,5835997.0,53124964.73991758,-37284290.149677396,90409254.88959499
101-1000,midday,5s,145,55652,4541169.0,58315397.6713221,-35755556.730821736,94070954.4021438
101-1000,midday,5s,146,53768,4441188.0,43894860.483774394,-18678643.235491488,62573503.719265886
101-1000,midday,5s,147,53016,4225901.0,50351482.545373276,-20653122.18281106,71004604.72818434
101-1000,midday,5s,148,52533,4614332.0,57998862.42440533,-41889882.75191121,99888745.17631657
101-1000,midday,5s,149,53238,4374260.0,54341201.40120878,-20513827.184442922,74855028.5856517
101-1000,midday,5s,150,52035,4352313.0,45872506.94189131,-42711506.433601774,88584013.3754931
101-1000,midday,5s,151,48041,4113074.0,55730238.627683535,-15326323.656934869,71056562.28461841
101-1000,midday,5s,152,50554,4264606.0,44950009.949459694,-21712115.36530967,66662125.314769365
101-1000,midday,5s,153,46400,3664038.0,43887915.02783793,-17232895.344430026,61120810.372267954
101-1000,midday,5s,154,53015,4133181.0,39825622.1646202,-18806888.32872155,58632510.493341744
101-1000,midday,5s,155,78030,7089884.0,62479144.32242072,-39051390.367457986,101530534.6898787
101-1000,midday,5s,156,62982,5174194.0,57511402.11930697,-24527212.391163718,82038614.51047069
101-1000,midday,5s,157,56702,4792467.0,57795332.73892283,-35941061.13347706,93736393.87239984
101-1000,midday,5s,158,55152,4790243.0,59893024.44674949,-31883546.94380923,91776571.39055873
101-1000,midday,5s,159,55149,4661654.0,61349977.84210306,-29631872.377929464,90981850.22003251
101-1000,midday,5s,160,45459,3840957.0,55316081.0365597,-38348198.13746913,93664279.17402884
101-1000,midday,5s,161,52091,4381750.0,58993081.37426173,-24143293.973401476,83136375.3476632
101-1000,midday,5s,162,54509,5116129.0,106673960.37385067,-49082746.3854865,155756706.75933722
101-1000,midday,5s,163,53790,4880944.0,58780511.99346053,-32916399.862239018,91696911.85569955
101-1000,midday,5s,164,46887,3961122.0,45721526.19472399,-14689867.830438469,60411394.02516246
101-1000,midday,5s,165,44942,3871526.0,46994910.84742858,-17540326.96867637,64535237.816104956
101-1000,midday,5s,166,47211,3875145.0,49005076.03905271,-13896054.144927153,62901130.18397987
101-1000,midday,5s,167,63313,5578822.0,64857745.493459545,-40764742.46019646,105622487.953656
101-1000,midday,5s,168,62597,5505926.0,65104379.54636593,-83400404.777248,148504784.32361397
101-1000,midday,5s,169,51654,4147218.0,45067136.718842566,-23692933.5815081,68760070.30035067
101-1000,midday,5s,170,51122,4027898.0,46665799.85246224,-26068738.91854289,72734538.77100512
101-1000,midday,5s,171,50794,4106277.0,56913039.99945003,-31431859.259423543,88344899.25887355
101-1000,midday,5s,172,51299,4046744.0,41686722.2366337,-23705275.743323594,65391997.979957305
101-1000,midday,5s,173,47317,3906093.0,39634460.308039494,-14626322.675234424,54260782.98327392
101-1000,midday,5s,174,50327,3837403.0,36398553.86926369,-19401093.999758817,55799647.86902252
101-1000,midday,5s,175,46174,3636568.0,36540883.06558204,-15818595.12191405,52359478.18749608
101-1000,midday,5s,176,49453,4538534.0,51149152.74050342,-24704116.6704258,75853269.41092922
101-1000,midday,5s,177,51503,4811277.0,57657738.15906978,-20246759.73215864,77904497.89122842
101-1000,midday,5s,178,46984,3860983.0,34865021.38049171,-18556500.398960896,53421521.7794526
101-1000,midday,5s,179,54929,4912802.0,60877332.92268394,-12178479.319766037,73055812.24244997
101-1000,midday,5s,180,60144,5262324.0,64342406.73858328,-17477827.40495099,81820234.14353427
101-1000,midday,5s,181,64253,5463735.0,58882293.02320028,-35169329.495824024,94051622.51902431
101-1000,midday,5s,182,61240,5163279.0,65192339.666152045,-9727390.552228408,74919730.21838042
101-1000,midday,5s,183,67695,5800408.0,58295567.84450833,-24825598.731993567,83121166.57650195
101-1000,midday,5s,184,68639,5635566.0,55099120.62635442,-16558122.487649187,71657243.11400361
101-1000,midday,5s,185,75271,6420019.0,66534636.59518829,-26666449.238755606,93201085.8339439
101-1000,open,1s,114,135808,16665609.0,367094125.9558531,-115099555.81604894,482193681.771902
101-1000,open,1s,115,120348,12278757.0,207906029.94352698,-99059737.7220237,306965767.6655506
101-1000,open,1s,116,117625,11826258.0,171797415.71689203,-81063849.14761351,252861264.86450553
101-1000,open,1s,117,118132,11373042.0,156913167.5599434,-101877495.54296783,258790663.10291123
101-1000,open,1s,118,104574,9606655.0,134036712.07187532,-79388557.50557996,213425269.57745525
101-1000,open,1s,119,103295,9281299.0,126820998.97516386,-73315732.80434448,200136731.7795083
101-1000,open,30s,114,135808,16665609.0,367094125.9558531,-371238094.6026442,738332220.5584975
101-1000,open,30s,115,120348,12278757.0,207906029.94352695,-148056152.99086556,355962182.9343925
101-1000,open,30s,116,117625,11826258.0,171797415.71689203,-112039811.21516566,283837226.9320577
101-1000,open,30s,117,118132,11373042.0,156913167.55994344,-113748451.82400368,270661619.383947
101-1000,open,30s,118,104574,9606655.0,134036712.07187527,-86174083.39002775,220210795.4619031
