sym,session,n_in,n_out,beta,r2_in,r2_out
BWLP,open,304,101,0.0006617938572035384,0.555110151936937,0.48729187077902725
BWMN,close,85,202,0.015088050220986938,0.3316741494383719,-1.1166619261402406
BWMN,midday,557,307,0.005660169884309727,0.038282379592392876,0.3593999219604237
BWMN,open,44,22,0.0030331024107310414,0.009337781478418435,-0.05733579634151775
BWMX,close,32,43,0.011068298700763072,0.2104742971022765,0.3185344562323338
BWMX,midday,86,32,0.01960384287488048,0.6282204816783276,0.46309154175842915
BWOW,close,82,40,0.0018255090497737558,0.6625850453721086,0.5829178182897591
BWOW,midday,1981,509,0.0018316029757097917,0.5530195261530013,0.5678115870078815
BWOW,open,401,105,0.0017895333400130252,0.4768668018551952,0.20732395759096622
BWTG,midday,547,121,0.00014178970097939762,0.007502937076248811,0.08699947419079357
BWTG,open,225,30,0.0002035454172202576,0.11051733536836802,-0.008871474701376725
BWX,midday,408,148,0.00010344170993858939,0.012191313744782764,0.062498518989942076
BWXT,close,246,218,0.019597057787085554,0.25632401846299097,0.2686689579320105
BWXT,midday,1277,514,0.044374821326810976,0.2050380898590455,0.29586610276291236
BWXT,open,106,48,0.08099311074014043,0.11483382686830457,0.27017446241873744
BX,close,508,371,0.0031429840657375948,0.3401935533624955,0.4265726034108631
BX,midday,2927,1392,0.009439007015915367,0.3332095644686847,0.25863364146935375
BX,open,328,95,0.01507800286167035,0.20293009226223122,0.28171837275337985
BXC,close,98,35,0.1069471693397934,0.332235642413249,0.7741467838349185
BXC,midday,304,202,0.09996672761859514,0.1811085177689247,-0.38319260746406636
BXMT,close,186,212,0.00036755534951497657,0.6387308635033928,-0.4758661517239271
BXMT,midday,2244,711,0.0009453761846104505,0.331953241961464,0.5095659828704457
BXMT,open,69,57,0.005968487662238352,0.05022391964530848,-0.6973866825233146
BXMX,midday,84,28,0.004256441423431145,0.29844619235016573,-4.455911890258743
BXP,close,337,285,0.0037358467251437993,0.2808172207088417,0.4526180110154212
BXP,midday,1729,789,0.006415425496953663,0.37964393686555375,0.4823769511388666
BXP,open,181,65,0.02454497020988296,0.13315762720413557,0.31503071856253917
BXSL,close,163,114,0.00021142743543395474,0.21740997296398903,0.05372359181877284
BXSL,midday,1585,687,0.0025022170151787516,0.473259069446371,-5.911162335059424
BXSL,open,225,71,0.0065465146358905275,0.18219348490500603,0.42681981215658826
BY,close,220,181,0.002598745645837656,0.3731366365562477,0.2144708911272375
BY,midday,771,320,0.0066923156865065616,0.1987949789942051,0.1984715924046857
BYAH,midday,100,33,0.00010599933130810692,0.25121235872481157,0.08558120113531054
BYD,close,330,241,0.005248747563763772,0.3802613227591062,0.21690418173661585
BYD,midday,973,850,0.011841239806240163,0.18434893050680073,-0.11942627640033776
BYD,open,61,32,0.046114996907631385,0.03268199242120808,-4.753307951261106
BYLD,midday,90,22,0.0010292143358432292,0.12128693709068923,0.2269733442748436
BYM,midday,152,28,0.00813397449727521,0.11378124826881925,0.5255141848083472
BYND,close,624,404,2.3626801142890643e-06,0.2447671596257148,0.4887874128591503
BYND,midday,5568,2475,6.08885290870781e-06,0.6936482357741894,0.476608381141717
BYND,open,789,256,2.1363758844353484e-06,0.21776181501841504,0.3907922149734002
BYRE,close,93,80,0.0009022181966551923,0.20015828081780135,-0.051952757265985694
BYRE,midday,736,144,0.0005779610665627878,0.25815604158000316,0.16992844308961919
BYRE,open,197,83,0.0006233771304550536,0.1884115404414527,0.7519827284301994
BYRN,close,139,262,0.002629702095929553,0.6967640880694776,-0.7604616575652206
BYRN,midday,979,298,0.00766273495292716,0.37584407428080685,0.37113315089143084
BYRN,open,108,35,0.009681046469052917,0.19841673397526163,-0.026074976022397278
BYSI,close,109,62,0.00018270063103801844,0.13152499149838306,0.02525108780538221
BYSI,midday,322,432,0.0001075744930332749,0.03195528605387396,-0.019608620556255563
BZ,close,198,279,0.0007066606444692614,0.5886512500184073,-6.956887949882084
BZ,midday,2067,883,0.0008439292501319417,0.30221204461702994,-13.513635594450198
BZ,open,184,61,0.002817715186920546,0.4970994134434803,0.291473369618395
BZAI,close,158,197,0.00013195629793931248,0.6506325197061035,-1.1678826019262103
BZAI,midday,1107,657,4.782729629337711e-05,0.3993863000192786,0.2854355638239712
BZAI,open,117,28,0.00030442361728607177,0.08140165735226716,0.4510867551776314
BZFD,close,40,26,0.00018534924129215248,0.8518467180162744,-0.14627869457679266
BZFD,midday,178,65,0.00036974852662371765,0.1952855182574481,0.13693020024882618
BZH,close,197,167,0.0019795742693820245,0.17148377812214022,0.168427639746492
BZH,midday,1064,392,0.005437268852297275,0.25569736433897905,0.14422791207392438
BZH,open,60,51,0.02571892061376146,0.458176190677039,-0.03227642407524356
BZQ,close,168,54,0.024421886369355703,0.07546928369036973,0.17793050233269248
BZQ,midday,2010,323,0.034757874606976984,0.06437215104644907,-1.6937610349133059
BZQ,open,339,94,0.0031642722875529685,0.00930417522539585,0.012328292704134491
BZUN,close,77,61,0.00016407642202019332,0.5214175979778566,0.9079839338281395
BZUN,midday,485,184,0.00024450165493412483,0.4814186211977841,0.41810648958257524
C,close,1008,507,0.001045384986525462,0.7626731088238593,0.6900705769454512
C,midday,10920,4509,0.0017894086328088942,0.7201279378903087,0.3615126470958585
C,open,942,488,0.002572506634488918,0.4900707198125356,0.14208193301375227
CAAP,midday,234,243,0.013688405055119543,0.14564678899304204,0.14887234057464072
CAAS,midday,37,17,0.002447371859104946,0.38208223352593634,0.11788803098246747
CABA,close,185,219,4.7496629856381814e-05,0.7540967644817524,-0.5323409934480805
CABA,midday,1819,800,8.109298088329413e-05,0.7845425676356919,0.32405703903120886
CABA,open,285,49,0.00019705336896469027,0.7137093534963632,0.2333597560110663
CABO,close,234,114,0.05387263118386605,0.10929401910334871,-0.21418853597750798
CABO,midday,396,261,0.13761081952405324,0.12832776202049137,-0.014866518860175315
CABR,close,42,49,0.0003064557763508093,0.018215747630889983,-0.04163907357447094
