tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,30s,146,35075,3462898.0,38756997.64580373,-42286399.022675425,81043396.66847917
101-1000,midday,30s,147,37108,3761309.0,35837337.857586935,-19706865.728874855,55544203.5864618
101-1000,midday,30s,148,31044,2732559.0,23516569.303613476,310806.41351274046,23205762.890100732
101-1000,midday,30s,149,39599,3744559.0,34130115.80274381,-21845046.26779952,55975162.07054331
101-1000,midday,30s,150,36284,3381793.0,30350017.380867347,-16455950.767223181,46805968.14809053
101-1000,midday,30s,151,58292,6128456.0,50287107.33769211,-50382008.87480351,100669116.21249563
101-1000,midday,30s,152,37862,3951590.0,49686697.00572655,-29936987.50730031,79623684.51302691
101-1000,midday,30s,153,38210,3933517.0,55459301.82055999,-1287699.3600050362,56747001.18056503
101-1000,midday,30s,154,38860,4004916.0,33404426.638396777,-25796059.535138894,59200486.17353567
101-1000,midday,30s,155,31511,3058171.0,32492019.41822044,-10206761.83269711,42698781.250917554
101-1000,midday,30s,156,34863,3395428.0,37852572.72824972,-25044078.843490064,62896651.571739785
101-1000,midday,30s,157,32925,3136592.0,31314588.697190553,-15830741.9542583,47145330.651448846
101-1000,midday,30s,158,33794,3291806.0,36607247.31732931,-18994768.452519815,55602015.76984911
101-1000,midday,30s,159,34423,3219942.0,30792171.753250953,-18568183.57692416,49360355.33017512
101-1000,midday,30s,160,31631,3179030.0,30023880.98098973,-703039.6229427096,30726920.60393244
101-1000,midday,30s,161,31367,3182035.0,32498574.530790187,-13935374.64953954,46433949.180329725
101-1000,midday,30s,162,37583,3570608.0,37559363.3495862,-24608452.41099912,62167815.76058532
101-1000,midday,30s,163,30748,2835475.0,23385984.784299374,-13819102.842180567,37205087.62647994
101-1000,midday,30s,164,29684,2918312.0,36349195.07871089,-17359313.842387903,53708508.9210988
101-1000,midday,30s,165,31493,2941728.0,33535676.49081175,-4123810.9586204872,37659487.44943224
101-1000,midday,30s,166,29247,2988733.0,32844514.0410785,-10941692.876935495,43786206.918014
101-1000,midday,30s,167,34898,3466138.0,37430390.54572563,-22458656.02900419,59889046.57472982
101-1000,midday,30s,168,35833,3467054.0,36885708.44838728,-27315964.368472453,64201672.81685977
101-1000,midday,30s,169,36922,3587648.0,37640529.98273161,-14090161.10018503,51730691.08291664
101-1000,midday,30s,170,35554,3197514.0,25766762.638379186,-14473129.672267571,40239892.31064675
101-1000,midday,30s,171,36192,3474907.0,30795142.138440624,-20243661.783358607,51038803.92179923
101-1000,midday,30s,172,34462,3350239.0,30305673.754414737,-14128143.854227096,44433817.60864183
101-1000,midday,30s,173,34666,3569762.0,38621243.869447075,-17364177.7662561,55985421.63570317
101-1000,midday,30s,174,33834,3276635.0,26744620.692891177,-11969138.5513012,38713759.24419238
101-1000,midday,30s,175,34202,3603321.0,28332990.002467114,-13573096.302915981,41906086.3053831
101-1000,midday,30s,176,113638,14460449.0,133113356.19956024,-129849036.06496592,262962392.26452613
101-1000,midday,30s,177,74856,8482916.0,61802799.072566435,-21704008.107498556,83506807.180065
101-1000,midday,30s,178,47028,4728878.0,33494984.903467603,-11040493.216651376,44535478.120118976
101-1000,midday,30s,179,62474,6516578.0,51224927.283992335,-23349105.31557525,74574032.59956759
101-1000,midday,30s,180,66008,6774319.0,48267441.283442035,-26875260.41803851,75142701.70148057
101-1000,midday,30s,181,55225,5611026.0,43556213.74061728,-22361312.53619475,65917526.27681203
101-1000,midday,30s,182,51165,4943433.0,41119475.2607676,-14149913.431976058,55269388.692743644
101-1000,midday,30s,183,57190,5502928.0,42652130.30729414,-20335724.272310127,62987854.57960427
101-1000,midday,30s,184,59456,6198584.0,48831132.07025962,-24097570.669744972,72928702.7400046
101-1000,midday,30s,185,65076,6663266.0,53323619.00404324,-27089292.955464672,80412911.95950793
101-1000,midday,5s,120,62712,7092073.0,98161691.14410287,-64355880.89888248,162517572.04298547
101-1000,midday,5s,121,56974,6620468.0,84275174.9821958,-34688078.27696641,118963253.2591622
101-1000,midday,5s,122,55582,6104817.0,70468965.24651548,-33560986.95494859,104029952.20146409
101-1000,midday,5s,123,55678,6646114.0,113551805.46035345,-24548013.404543713,138099818.8648971
101-1000,midday,5s,124,50977,5854378.0,118152490.74271655,-5366441.110094715,123518931.85281141
101-1000,midday,5s,125,46168,5145600.0,64494762.636506245,-25051786.2771795,89546548.91368575
101-1000,midday,5s,126,58407,6476908.0,81524537.21079563,-28241255.931264527,109765793.14206019
101-1000,midday,5s,127,56762,6063535.0,66355477.360118896,-21125295.78667971,87480773.1467986
101-1000,midday,5s,128,54866,6156636.0,82675823.04053335,-18427438.37371208,101103261.41424543
101-1000,midday,5s,129,57454,6572374.0,93390073.23213907,-57116198.81630563,150506272.0484447
101-1000,midday,5s,130,59762,6908739.0,85221772.56299362,-33087964.61039823,118309737.17339186
101-1000,midday,5s,131,55241,6300532.0,68472123.24923697,-22449938.379685014,90922061.62892199
101-1000,midday,5s,132,51621,5838267.0,73895628.86229275,-28151959.0669514,102047587.92924415
101-1000,midday,5s,133,46474,5063628.0,72291173.87749675,-12904951.64938047,85196125.52687724
101-1000,midday,5s,134,49213,5467846.0,71577067.24254045,-25203154.331898075,96780221.57443853
101-1000,midday,5s,135,45117,4925230.0,55069822.707624525,-14062660.788055768,69132483.49568029
101-1000,midday,5s,136,45123,4312696.0,41462514.7077788,-11934781.778242216,53397296.48602102
101-1000,midday,5s,137,42636,4320503.0,42126955.41178573,-9025676.825874133,51152632.23765985
101-1000,midday,5s,138,45780,4850280.0,50866308.306948766,-15232623.512357943,66098931.81930672
101-1000,midday,5s,139,44091,4776450.0,182031219.21132848,116085169.74996427,65946049.46136414
101-1000,midday,5s,140,42383,4323510.0,169582043.86845663,97140249.82187998,72441794.04657671
101-1000,midday,5s,141,43915,4557557.0,46408150.26846051,907841.7205553474,45500308.54790514
101-1000,midday,5s,142,37416,3949870.0,41972464.223626405,-14545274.540512543,56517738.76413895
101-1000,midday,5s,143,37010,3716320.0,43221737.69892281,-68866720.57332584,112088458.2722486
101-1000,midday,5s,144,34023,3251486.0,36670066.97815781,-12565542.115034267,49235609.093192086
101-1000,midday,5s,145,35759,3816977.0,43393739.18986057,-18457229.41022999,61850968.60009055
101-1000,midday,5s,146,35075,3462898.0,38756997.64580373,-36982811.66452543,75739809.31032914
101-1000,midday,5s,147,37108,3761309.0,35837337.857586935,-18137569.408155613,53974907.26574254
101-1000,midday,5s,148,31044,2732559.0,23516569.303613473,-4299838.024143132,27816407.32775661
101-1000,midday,5s,149,39599,3744559.0,34130115.802743815,-14077281.016751628,48207396.81949544
101-1000,midday,5s,150,36284,3381793.0,30350017.380867343,-14203337.835412234,44553355.21627958
101-1000,midday,5s,151,58292,6128456.0,50287107.3376921,-32157190.43406545,82444297.77175756
101-1000,midday,5s,152,37862,3951590.0,49686697.00572657,-30644002.227940824,80330699.23366739
101-1000,midday,5s,153,38210,3933517.0,55459301.82055999,1482844.8862504424,53976456.93430956
101-1000,midday,5s,154,38860,4004916.0,33404426.63839677,-19271505.92788424,52675932.566281006
101-1000,midday,5s,155,31511,3058171.0,32492019.418220453,-3028283.0784245566,35520302.496645
101-1000,midday,5s,156,34863,3395428.0,37852572.72824972,-12513277.418157682,50365850.1464074
101-1000,midday,5s,157,32925,3136592.0,31314588.69719055,-13620040.61101892,44934629.308209464
101-1000,midday,5s,158,33794,3291806.0,36607247.31732931,-13252886.514811387,49860133.83214069
101-1000,midday,5s,159,34423,3219942.0,30792171.753250953,-13220407.614361066,44012579.36761203
101-1000,midday,5s,160,31631,3179030.0,30023880.980989728,-8817575.097849503,38841456.078839235
101-1000,midday,5s,161,31367,3182035.0,32498574.530790187,-10682377.481973628,43180952.01276381
101-1000,midday,5s,162,37583,3570608.0,37559363.34958619,-22351152.9507534,59910516.30033959
101-1000,midday,5s,163,30748,2835475.0,23385984.784299374,-15509778.406436902,38895763.19073628
101-1000,midday,5s,164,29684,2918312.0,36349195.07871089,-15337972.686696952,51687167.765407845
101-1000,midday,5s,165,31493,2941728.0,33535676.490811747,-2570743.24051869,36106419.73133043
101-1000,midday,5s,166,29247,2988733.0,32844514.041078504,-9268472.994337944,42112987.03541645
101-1000,midday,5s,167,34898,3466138.0,37430390.54572564,-21027156.899722308,58457547.445447974
101-1000,midday,5s,168,35833,3467054.0,36885708.44838728,-26331022.120361242,63216730.56874853
101-1000,midday,5s,169,36922,3587648.0,37640529.98273162,-11267660.379853962,48908190.36258558
101-1000,midday,5s,170,35554,3197514.0,25766762.63837919,-10687730.642151905,36454493.28053109
101-1000,midday,5s,171,36192,3474907.0,30795142.13844062,-18072928.642827213,48868070.78126783
101-1000,midday,5s,172,34462,3350239.0,30305673.75441474,-13669768.674903873,43975442.42931861
101-1000,midday,5s,173,34666,3569762.0,38621243.869447075,-3779883.6236052983,42401127.49305237
101-1000,midday,5s,174,33834,3276635.0,26744620.692891177,-9559472.502904175,36304093.19579536
101-1000,midday,5s,175,34202,3603321.0,28332990.00246712,-14109569.568909695,42442559.571376815
101-1000,midday,5s,176,113638,14460449.0,133113356.19956024,-101333320.7921978,234446676.99175802
101-1000,midday,5s,177,74856,8482916.0,61802799.072566435,-33674646.89529177,95477445.9678582
101-1000,midday,5s,178,47028,4728878.0,33494984.9034676,-13430070.987910433,46925055.89137803
101-1000,midday,5s,179,62474,6516578.0,51224927.28399233,-19689320.34947314,70914247.63346547
101-1000,midday,5s,180,66008,6774319.0,48267441.283442035,-25633572.83753748,73901014.12097952
101-1000,midday,5s,181,55225,5611026.0,43556213.74061729,-22182765.904715084,65738979.645332366
101-1000,midday,5s,182,51165,4943433.0,41119475.2607676,-13279920.389127279,54399395.64989489
101-1000,midday,5s,183,57190,5502928.0,42652130.307294145,-12093684.763139471,54745815.07043362
101-1000,midday,5s,184,59456,6198584.0,48831132.07025962,-22994745.41363375,71825877.48389336
101-1000,midday,5s,185,65076,6663266.0,53323619.004043244,-15823595.289180245,69147214.29322349
101-1000,open,1s,114,89268,13118814.0,510799601.6544846,136549724.03590348,374249877.61858165
101-1000,open,1s,115,75101,9974700.0,200782196.88614494,-66848501.69793262,267630698.5840776
101-1000,open,1s,116,61298,7643219.0,230631458.48843038,47812880.62613875,182818577.86229157
101-1000,open,1s,117,65424,8255590.0,120257344.198406,-12748692.331295608,133006036.5297016
101-1000,open,1s,118,60572,7139224.0,92454311.08830729,-25355414.962251384,117809726.05055866
101-1000,open,1s,119,55274,6398079.0,268405431.03531194,131890344.47633338,136515086.5589792
101-1000,open,30s,114,89268,13118814.0,510799601.65448534,30578644.48904722,480220957.16543794
