sym,session,n_in,n_out,beta,r2_in,r2_out
ERII,close,184,190,0.00083399481383419,0.59109447248748,-2.4872306236068877
ERII,midday,665,490,0.0010721571804241468,0.5186933990834383,0.1268428288723814
ERII,open,100,68,0.0013032439861794648,0.5628805228464322,0.5520955757531003
ERJ,close,244,165,0.0004995624019697756,0.5432588023562498,0.4070527784008815
ERJ,midday,2604,983,0.0006130492830020322,0.48643140682681646,0.3517113209989955
ERJ,open,245,121,0.0013490375430026751,0.6616106251270553,0.5332559049319929
EROS,close,110,85,9.920493730506739e-05,0.696262078580124,0.050053074815725074
EROS,midday,1108,453,0.00012772505272893756,0.5858161186225102,0.7189505495190771
EROS,open,160,88,0.0003801145499162167,0.5483086409740835,0.6318578403933091
ERSX,close,70,32,,,
ERSX,midday,825,306,0.0075,0.36425032296044346,-0.0008976486386618188
ERSX,open,86,30,,,
ERUS,close,58,36,0.0005627321378790293,0.5374850774801415,0.08911884567406003
ERUS,midday,866,228,0.0008718370947373512,0.27307516357174877,-0.16133262760260458
ERUS,open,112,76,0.002401471854337393,0.10786560899971298,0.020531490425289012
ERX,close,778,417,9.530065849885897e-05,0.43841913474528854,0.13345354378000907
ERX,midday,9797,3240,0.0001290903529249502,0.4027305291571948,0.33038347096631715
ERX,open,925,461,0.0002189221928534192,0.2329730464738024,0.36505299036297667
ERY,close,875,460,0.0012180797141899413,0.6985248419295679,0.48151216857017765
ERY,midday,10169,3641,0.0017138827731318384,0.7235515440910113,0.2369737547044768
ERY,open,1015,432,0.002165734004646134,0.5942510468926552,0.7689509579646716
ERYP,midday,55,31,0.02672680659512557,0.3531484888540791,0.5064883000770524
ES,close,391,295,0.002218423561741038,0.5310462639605529,0.4698727973727992
ES,midday,2382,1458,0.00323636461843312,0.44737196025019876,-0.8673057041702745
ES,open,184,103,0.010288487642698456,0.08709425454237568,0.5250313379567332
ESBA,open,67,36,0.00890752579392551,0.08659532554886226,-93.90221911426202
ESCA,close,39,26,,,
ESCA,midday,131,70,0.0038738522934243283,0.06354827679363918,0.6352548642173288
ESE,close,179,110,0.03151744270062435,0.06519071566256784,-0.05383650121545225
ESE,midday,1020,690,0.022632739327729752,0.06502220932359323,0.05799762661349395
ESE,open,90,40,0.08180391283706634,0.042848024581959195,-0.13372192962261575
ESEA,midday,62,24,0.00295985771469372,0.13973270077504082,0.07247267845801575
ESG,close,91,22,0.0009216055644109549,0.4240198134258337,-0.11924525896073757
ESG,midday,983,223,0.0008308681306178178,0.1862335049079649,0.12928416782321506
ESG,open,253,80,0.0005670021676851519,0.05090904130478255,0.051610041352566194
ESGD,close,72,49,0.001026805989824578,0.03988257312905371,0.11506268234833594
ESGD,midday,607,122,0.0034553493484924397,0.30897054882035585,0.1483520903592931
ESGD,open,105,26,0.003392886008869647,0.1597131818975832,0.4194425792994203
ESGE,close,145,68,0.00010414973971687344,0.07252343020291396,0.016431975581001623
ESGE,midday,487,199,9.548021551710842e-05,0.02616153156373429,-0.08895776862983928
ESGE,open,153,37,3.357983145739197e-05,0.00605880443150907,-0.21602574166633293
ESGF,midday,47,12,0.005383358471593766,0.9579112726978024,0.9488930356727135
ESGL,close,36,51,0.0006839945280437756,0.22499820001439988,-0.34196610372040914
ESGL,midday,271,68,0.00010161585099702343,0.02173601574025366,-0.0033799011309059157
ESGL,open,91,20,-2.717221481543205e-05,0.0012096504334429754,-0.06588910790918345
ESGR,close,74,85,0.006664315409416619,0.011611658882564728,-0.0030219148112775596
ESGR,midday,1109,606,0.010779701365456685,0.005165162585424623,-0.008013043452834712
ESGRP,midday,51,14,0.001245030306242853,0.07252281105671014,-0.3290686754598753
