minute,bid,bidSh,ask,askSh
54780000000000,2764900,171,2765100,237
54840000000000,2765300,374,2765400,857
54900000000000,2766700,226,2766800,165
54960000000000,2767500,935,2767700,473
55020000000000,2766700,561,2766800,59
55080000000000,2766400,6,2766600,306
55140000000000,2767200,210,2767300,35
55200000000000,2768100,264,2768200,112
55260000000000,2766700,160,2766900,30
55320000000000,2768000,135,2768200,36
55380000000000,2768400,715,2768500,882
55440000000000,2768200,924,2768300,27
55500000000000,2769100,395,2769200,870
55560000000000,2769200,35,2769300,155
55620000000000,2768800,295,2769000,235
55680000000000,2768500,1401,2768600,225
55740000000000,2768500,135,2768600,3
55800000000000,2769200,694,2769300,262
55860000000000,2769000,203,2769100,35
55920000000000,2769000,494,2769200,225
55980000000000,2767500,76,2767600,146
56040000000000,2768000,46,2768100,449
56100000000000,2768400,236,2768500,869
56160000000000,2767300,228,2767400,89
56220000000000,2767400,406,2767500,89
56280000000000,2769400,45,2769600,161
56340000000000,2769600,343,2769800,28
56400000000000,2768800,423,2768900,875
56460000000000,2769300,342,2769400,172
56520000000000,2769700,265,2769900,292
56580000000000,2770800,281,2771000,274
56640000000000,2771300,44,2771400,1326
56700000000000,2772200,248,2772300,5
56760000000000,2773500,179,2773600,201
56820000000000,2773900,135,2774000,439
56880000000000,2774100,134,2774300,155
56940000000000,2773400,41,2773500,35
57000000000000,2772500,625,2772600,195
57060000000000,2772200,308,2772300,135
57120000000000,2773800,265,2773900,25
57180000000000,2774100,55,2774200,1654
57240000000000,2774700,425,2774900,331
57300000000000,2773600,306,2773800,145
57360000000000,2774100,304,2774200,730
57420000000000,2774100,1085,2774200,66
57480000000000,2775700,777,2775800,3175
57540000000000,2775600,210,2775700,2484
57600000000000,2779500,251,2779700,120
